Disposition,OffenderStatus,Offender_Race,Offender_Gender,Offender_Age,PersonType,Victim_Race,Victim_Gender,Victim_Age,Victim_Fatal_Status,Report Type,Category
CLOSED,ARRESTED,BLACK,MALE,30.0,VICTIM,BLACK,FEMALE,29.0,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,BLACK,MALE,30.0,VICTIM,BLACK,FEMALE,29.0,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,BLACK,MALE,30.0,VICTIM,BLACK,FEMALE,29.0,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,BLACK,MALE,30.0,VICTIM,BLACK,FEMALE,29.0,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,BLACK,MALE,30.0,VICTIM,BLACK,FEMALE,29.0,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER,MALE,27.0,VICTIM,WHITE,FEMALE,62.0,Non-fatal,Incident Report,Miscellaneous
CLOSED,ARRESTED,NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER,MALE,27.0,VICTIM,WHITE,MALE,39.0,Non-fatal,Incident Report,Miscellaneous
CLOSED,ARRESTED,NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER,MALE,27.0,VICTIM,WHITE,MALE,50.0,Non-fatal,Incident Report,Miscellaneous
CLOSED,ARRESTED,NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER,MALE,27.0,VICTIM,WHITE,MALE,50.0,Non-fatal,Incident Report,Miscellaneous
CLOSED,ARRESTED,BLACK,FEMALE,22.0,VICTIM,BLACK,FEMALE,27.0,Non-fatal,Incident Report,Vandalism
CLOSED,ARRESTED,WHITE,FEMALE,23.0,VICTIM,WHITE,FEMALE,46.0,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,49.0,VICTIM,BLACK,FEMALE,53.0,Non-fatal,Incident Report,Miscellaneous
CLOSED,ARRESTED,BLACK,FEMALE,27.0,VICTIM,BLACK,FEMALE,36.0,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,25.0,VICTIM,WHITE,FEMALE,28.0,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,BLACK,FEMALE,24.0,VICTIM,WHITE,FEMALE,28.0,Non-fatal,Supplemental Report,Theft
OPEN,ARRESTED,BLACK,FEMALE,38.0,VICTIM,BLACK,FEMALE,41.0,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,FEMALE,23.0,VICTIM,BLACK,FEMALE,42.0,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,24.0,VICTIM,BLACK,MALE,25.0,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,FEMALE,40.0,VICTIM,BLACK,MALE,51.0,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,WHITE,MALE,67.0,VICTIM,WHITE,FEMALE,53.0,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,WHITE,MALE,67.0,VICTIM,WHITE,FEMALE,53.0,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,23.0,VICTIM,BLACK,FEMALE,26.0,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,FEMALE,30.0,VICTIM,BLACK,FEMALE,41.0,Non-fatal,Supplemental Report,Miscellaneous
CLOSED,ARRESTED,BLACK,FEMALE,30.0,VICTIM,BLACK,FEMALE,41.0,Non-fatal,Supplemental Report,Miscellaneous
OPEN,ARRESTED,BLACK,MALE,40.0,VICTIM,WHITE,MALE,60.0,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,UNKNOWN,MALE,34.0,VICTIM,WHITE,FEMALE,39.0,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,42.0,VICTIM,BLACK,FEMALE,28.0,Non-fatal,Supplemental Report,Vandalism
CLOSED,ARRESTED,BLACK,MALE,42.0,VICTIM,BLACK,FEMALE,28.0,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,BLACK,MALE,42.0,VICTIM,BLACK,FEMALE,28.0,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,BLACK,MALE,42.0,VICTIM,BLACK,MALE,76.0,Non-fatal,Supplemental Report,Vandalism
CLOSED,ARRESTED,UNKNOWN,MALE,23.0,VICTIM,UNKNOWN,MALE,39.0,Fatal,Supplemental Report,Violence
CLOSED,ARRESTED,UNKNOWN,MALE,23.0,VICTIM,UNKNOWN,MALE,39.0,Fatal,Supplemental Report,Violence
